Hours,Attendance,Assignment,Sleep,Previous,Pass
2,60,55,5,50,0
3,65,58,6,52,0
1,55,48,5,45,0
4,70,60,6,58,0
2,62,54,5,49,0
5,75,65,6,60,0
6,80,72,7,68,1
7,85,75,7,70,1
8,90,85,8,80,1
5,78,69,6,66,1
9,92,88,8,85,1
4,72,62,6,59,0
6,82,74,7,71,1
7,88,78,7,73,1
3,67,59,6,53,0
8,91,86,8,82,1
2,61,52,5,47,0
10,95,92,8,90,1
6,79,70,7,69,1
4,68,60,6,57,0
5,76,67,6,63,1
3,64,56,5,51,0
7,84,76,7,72,1
8,89,83,8,78,1
1,50,45,4,40,0
9,93,90,8,87,1
6,81,73,7,70,1
5,74,66,6,61,0
7,86,79,7,74,1
2,58,50,5,46,0
8,90,84,8,81,1
4,69,61,6,56,0
6,83,75,7,72,1
5,77,68,6,64,1
3,63,57,5,50,0
9,94,91,8,88,1
2,59,53,5,48,0
7,87,80,7,75,1
6,82,74,7,71,1
4,71,63,6,58,0
